"common_name","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trimmings_tonnes","wholefish_tonnes","sciname"
"anchoveta(=peruvian anchovy)","Chile","CHL","yes","yes",0.15,"yes","biomar","FishStat capture","Peruvian Anchoveta",5893.65,33397.35,"engraulis ringens"
"anchoveta(=peruvian anchovy)","Ecuador","ECU","yes","yes",0.15,"yes","biomar","FishStat capture","Peruvian Anchoveta",5893.65,33397.35,"engraulis ringens"
"anchoveta(=peruvian anchovy)","Peru","PER","yes","yes",0.15,"yes","biomar","FishStat capture","Peruvian Anchoveta",5893.65,33397.35,"engraulis ringens"
"blue whiting(=poutassou)","Denmark","DNK","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Faroe Islands","FRO","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","France","FRA","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Germany","DEU","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Greenland","GRL","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Iceland","ISL","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Ireland","IRL","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Lithuania","LTU","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Netherlands","NLD","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Norway","NOR","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Poland","POL","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Portugal","PRT","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Russian Federation","RUS","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Spain","ESP","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","Sweden","SWE","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"blue whiting(=poutassou)","United Kingdom","GBR","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting",647.16,31710.84,"micromesistius poutassou"
"capelin","Faroe Islands","FRO","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin",11593.2,7728.8,"mallotus villosus"
"capelin","France","FRA","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin",11593.2,7728.8,"mallotus villosus"
"capelin","Greenland","GRL","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin",11593.2,7728.8,"mallotus villosus"
"capelin","Iceland","ISL","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin",11593.2,7728.8,"mallotus villosus"
"capelin","Norway","NOR","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin",11593.2,7728.8,"mallotus villosus"
"capelin","Russian Federation","RUS","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin",11593.2,7728.8,"mallotus villosus"
"capelin","Spain","ESP","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin",11593.2,7728.8,"mallotus villosus"
"bigeye tuna","Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"longtail tuna","Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus tonggol"
"skipjack tuna","Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"southern bluefin tuna","Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus maccoyii"
"tuna-like fishes nei","Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"perciformes"
"yellowfin tuna","Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Chile","CHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Chile","CHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","Chile","CHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"bigeye tuna","China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"yellowfin tuna","China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"yellowfin tuna","China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Colombia","COL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Colombia","COL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"tuna-like fishes nei","Colombia","COL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"perciformes"
"yellowfin tuna","Colombia","COL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"frigate and bullet tunas","Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis"
"skipjack tuna","Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"tuna-like fishes nei","Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"perciformes"
"yellowfin tuna","Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","El Salvador","SLV","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","El Salvador","SLV","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","El Salvador","SLV","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","France","FRA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","France","FRA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","France","FRA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis rochei"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis thazard"
"longtail tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus tonggol"
"skipjack tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis rochei"
"dogtooth tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"gymnosarda unicolor"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis thazard"
"longtail tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus tonggol"
"skipjack tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"southern bluefin tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus maccoyii"
"tuna-like fishes nei","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"perciformes"
"yellowfin tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"bigeye tuna","Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"skipjack tuna","Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"southern bluefin tuna","Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus maccoyii"
"yellowfin tuna","Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"yellowfin tuna","Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"bigeye tuna","Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"skipjack tuna","Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"southern bluefin tuna","Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus maccoyii"
"tuna-like fishes nei","Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"perciformes"
"tuna-like fishes nei","Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"perciformes"
"yellowfin tuna","Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"yellowfin tuna","Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis thazard"
"longtail tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus tonggol"
"skipjack tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"tuna-like fishes nei","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"perciformes"
"yellowfin tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Mexico","MEX","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Mexico","MEX","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","Mexico","MEX","no","yes",1,"no","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Nicaragua","NIC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Nicaragua","NIC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","Nicaragua","NIC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"atlantic bluefin tuna","unknown","unknown","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus thynnus"
"bigeye tuna","unknown","unknown","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","unknown","unknown","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","unknown","unknown","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Panama","PAN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Panama","PAN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","Panama","PAN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis rochei"
"frigate and bullet tunas","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis"
"skipjack tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"tuna-like fishes nei","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"perciformes"
"yellowfin tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Philippines","PHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Philippines","PHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","Philippines","PHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"skipjack tuna","Poland","POL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"bigeye tuna","Portugal","PRT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"bigeye tuna","Portugal","PRT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"yellowfin tuna","Portugal","PRT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"yellowfin tuna","Portugal","PRT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Seychelles","SYC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Seychelles","SYC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","Seychelles","SYC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"bigeye tuna","Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"skipjack tuna","Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"tuna-like fishes nei","Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"perciformes"
"tunas nei","Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus"
"yellowfin tuna","Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"yellowfin tuna","Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis rochei"
"frigate and bullet tunas","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis thazard"
"longtail tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus tonggol"
"skipjack tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"tuna-like fishes nei","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"perciformes"
"yellowfin tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"bigeye tuna","Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"longtail tuna","Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus tonggol"
"skipjack tuna","Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"skipjack tuna","Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"southern bluefin tuna","Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus maccoyii"
"yellowfin tuna","Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"yellowfin tuna","Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Tanzania, United Rep. of","TZA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"bigeye tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"frigate tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"auxis thazard"
"longtail tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus tonggol"
"skipjack tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"tuna-like fishes nei","Timor-Leste","TLS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"perciformes"
"yellowfin tuna","Timor-Leste","TLS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"yellowfin tuna","United Kingdom","GBR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","United States of America","USA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","United States of America","USA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","United States of America","USA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Vanuatu","VUT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Vanuatu","VUT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","Vanuatu","VUT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"bigeye tuna","Venezuela (Boliv Rep of)","VEN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus obesus"
"skipjack tuna","Venezuela (Boliv Rep of)","VEN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"katsuwonus pelamis"
"yellowfin tuna","Venezuela (Boliv Rep of)","VEN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"thunnus albacares"
"indo-pacific king mackerel","Brunei Darussalam","BRN","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomberomorus guttatus"
"pacific chub mackerel","Chile","CHL","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","China","CHN","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","Ecuador","ECU","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","Germany","DEU","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"indo-pacific king mackerel","Indonesia","IDN","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomberomorus guttatus"
"pacific chub mackerel","Korea, Republic of","KOR","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","Korea, Republic of","KOR","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","Lithuania","LTU","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","Mexico","MEX","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific jack mackerel","Mexico","MEX","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"trachurus symmetricus"
"pacific chub mackerel","Netherlands","NLD","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","Peru","PER","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","Philippines","PHL","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","Poland","POL","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","Russian Federation","RUS","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","United States of America","USA","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"pacific chub mackerel","Vanuatu","VUT","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp.",1492.83,15094.17,"scomber japonicus"
"european pilchard(=sardine)","Albania","ALB","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine",11882.4,2970.6,"sardina pilchardus"
