"common_name","sciname","source_country_iso3c","source_country_name","trim_prop","trimmings","whole_fish"
"atlantic herring","clupea harengus","FRA","France",0.5,"yes","yes"
"atlantic herring","clupea harengus","FRO","Faroe Islands",1,"yes","no"
"atlantic herring","clupea harengus","GBR","United Kingdom",1,"yes","no"
"atlantic herring","clupea harengus","ISL","Iceland",0.5,"yes","yes"
"atlantic herring","clupea harengus","LVA","Latvia",1,"yes","no"
"atlantic herring","clupea harengus","NOR","Norway",1,"yes","no"
"atlantic herring","clupea harengus","USA","United States",0,"no","yes"
"atlantic horse mackerel","trachurus trachurus","GBR","United Kingdom",1,"yes","no"
"atlantic horse mackerel","trachurus trachurus","MAR","Morocco",1,"yes","no"
"atlantic horse mackerel","trachurus trachurus","NAM","Namibia",0,"no","yes"
"atlantic horse mackerel","trachurus trachurus","NOR","Norway",1,"yes","no"
"atlantic mackerel","scomber scombrus","AUS","Australia",0,"no","yes"
"atlantic mackerel","scomber scombrus","CAN","Canada",1,"yes","no"
"atlantic mackerel","scomber scombrus","DNK","Denmark",1,"yes","no"
"atlantic mackerel","scomber scombrus","ESP","Spain",1,"yes","no"
"atlantic mackerel","scomber scombrus","FRA","France",1,"yes","no"
"atlantic mackerel","scomber scombrus","FRO","Faroe Islands",1,"yes","no"
"atlantic mackerel","scomber scombrus","GBR","United Kingdom",0.75,"yes","yes"
"atlantic mackerel","scomber scombrus","IND","India",0,"no","yes"
"atlantic mackerel","scomber scombrus","ISL","Iceland",1,"yes","no"
"atlantic mackerel","scomber scombrus","NOR","Norway",1,"yes","no"
"atlantic mackerel","scomber scombrus","THA","Thailand",1,"yes","no"
"atlantic menhaden","brevoortia tyrannus","USA","United States",0,"no","yes"
"atlantic mud shrimp","solenocera membranacea","ESP","Spain",1,"yes","no"
"atlantic salmon","salmo salar","CHL","Chile",1,"yes","no"
"atlantic salmon","salmo salar","DNK","Denmark",1,"yes","no"
"atlantic salmon","salmo salar","ESP","Spain",1,"yes","no"
"atlantic salmon","salmo salar","FRA","France",1,"yes","no"
"atlantic salmon","salmo salar","FRO","Faroe Islands",1,"yes","no"
"atlantic salmon","salmo salar","GBR","United Kingdom",1,"yes","no"
"atlantic salmon","salmo salar","IRL","Ireland",1,"yes","no"
"atlantic salmon","salmo salar","LTU","Lithuania",1,"yes","no"
"atlantic salmon","salmo salar","LVA","Latvia",1,"yes","no"
"atlantic salmon","salmo salar","NOR","Norway",1,"yes","no"
"atlantic salmon","salmo salar","PRT","Portugal",1,"yes","no"
"atlantic salmon","salmo salar","THA","Thailand",1,"yes","no"
"atlantic salmon","salmo salar","USA","United States of America",1,"yes","no"
"bald glassy","ambassis gymnocephalus","CHN","China",0,"no","yes"
"bali sardinella","sardinella lemuru","IDN","Indonesia",0.5,"yes","yes"
"band-striped goatfish","upeneus subvittatus","CHN","China",0,"no","yes"
"banded stingray (banded skate)","okamejei kenojei","CHN","China",0,"no","yes"
"barramundi(=giant seaperch)","lates calcarifer","VNM","Vietnam",1,"yes","no"
"barred mackerel","equulites rivulatus","CHN","China",0,"no","yes"
"bartail flathead","platycephalus indicus","CHN","China",0,"no","yes"
"bartail flathead","platycephalus indicus","VNM","Vietnam",0,"no","yes"
"bastard halibut","paralichthys olivaceus","CHN","China",0,"no","yes"
"bastard halibut","paralichthys olivaceus","VNM","Vietnam",0,"no","yes"
"bastard halibuts nei","paralichthys","USA","United States of America",1,"yes","no"
"beaked redfish","sebastes mentella","FRA","France",1,"yes","no"
"beaked redfish","sebastes mentella","NOR","Norway",1,"yes","no"
"bearded pseudocycus shrimp","metapenaeopsis barbata","CHN","China",0,"no","yes"
"beautiful shortfin scad","dendrochirus bellus","CHN","China",0,"no","yes"
"beka squid","loligo beka","CHN","China",0,"no","yes"
"belenger's croaker","johnius belengerii","CHN","China",0,"no","yes"
"berbis ponyfish","leiognathus berbis","CHN","China",0,"no","yes"
"bigeye scad","selar crumenophthalmus","VNM","Vietnam",0,"no","yes"
"bigeye tuna","thunnus obesus","CAN","Canada",1,"yes","no"
"bigeye tuna","thunnus obesus","CRI","Costa Rica",1,"yes","no"
"bigeye tuna","thunnus obesus","ECU","Ecuador",1,"yes","no"
"bigeye tuna","thunnus obesus","ESP","Spain",1,"yes","no"
"bigeye tuna","thunnus obesus","GBR","United Kingdom",1,"yes","no"
"bigeye tuna","thunnus obesus","IDN","Indonesia",1,"yes","no"
"bigeye tuna","thunnus obesus","IND","India",1,"yes","no"
"bigeye tuna","thunnus obesus","MUS","Mauritius",1,"yes","no"
"bigeye tuna","thunnus obesus","MYS","Malaysia",1,"yes","no"
"bigeye tuna","thunnus obesus","NZL","New Zealand",1,"yes","no"
"bigeye tuna","thunnus obesus","PNG","Papua New Guinea",1,"yes","no"
"bigeye tuna","thunnus obesus","SLV","ElSalvador",1,"yes","no"
"bigeye tuna","thunnus obesus","SYC","Seychelles",1,"yes","no"
"bigeye tuna","thunnus obesus","THA","Thailand",1,"yes","no"
"bigeye tuna","thunnus obesus","TUN","Tunisia",1,"yes","no"
"bigeye tuna","thunnus obesus","TWN","Taiwan",1,"yes","no"
"bighead lizardfish","trachinocephalus myops","CHN","China",0,"no","yes"
"bighead pennahia","pennahia macrocephalus","CHN","China",0,"no","yes"
"bigheaded eel","moringua macrocephalus","CHN","China",0,"no","yes"
"bigmouth spadenose shark","scoliodon macrorhynchos","CHN","China",0,"no","yes"
"black pomfret","parastromateus niger","VNM","Vietnam",0,"no","yes"
"black scabbardfish","aphanopus carbo","FRA","France",1,"yes","no"
"black sea urchin","arbacia lixula","VNM","Vietnam",0,"no","yes"
"black seabream","spondyliosoma cantharus","FRA","France",1,"yes","no"
"black skipjack","euthynnus lineatus","ECU","Ecuador",1,"yes","no"
"black-bellied anglerfish","lophiomus setigerus","CHN","China",0,"no","yes"
"black-edged snapper","jaydia ellioti","CHN","China",0,"no","yes"
"black-gill tongue sole","cynoglossus roulei","CHN","China",0,"no","yes"
"black-tailed conger","rhynchoconger ectenurus","CHN","China",0,"no","yes"
"black-tailed eel","dysomma melanurum","CHN","China",0,"no","yes"
"blackbellied angler","lophius budegassa","GBR","United Kingdom",1,"yes","no"
"blackbellied angler","lophius budegassa","NOR","Norway",1,"yes","no"
"blackchin tilapia","sarotherodon melanotheron","CHN","China",1,"yes","no"
"blackfin tuna","thunnus atlanticus","ESP","Spain",1,"yes","no"
"blackfin tuna","thunnus atlanticus","GBR","United Kingdom",1,"yes","no"
"blackhead seabream","acanthopagrus schlegelii","CHN","China",0,"no","yes"
"blackmouth croaker","atrobucca nibe","CHN","China",0,"no","yes"
"blackmouth ilisha","ilisha melastoma","CHN","China",0,"no","yes"
"blackspotted croaker","protonibea diacanthus","VNM","Vietnam",0,"no","yes"
"blackthroat seaperch","doederleinia berycoides","CHN","China",0,"no","yes"
"blacktip shark","carcharhinus limbatus","CRI","Costa Rica",1,"yes","no"
"bladder moon snail","polinices didyma","CHN","China",0,"no","yes"
"bloch's gizzard shad","nematalosa nasus","CHN","China",0,"no","yes"
"blue and red shrimp","aristeus antennatus","ESP","Spain",1,"yes","no"
"blue crossorhombus","crossorhombus azureus","CHN","China",0,"no","yes"
"blue grenadier","macruronus novaezelandiae","NZL","New Zealand",1,"yes","no"
"blue ling","molva dypterygia","FRA","France",1,"yes","no"
"blue shark","prionace glauca","TWN","Taiwan",1,"yes","no"
"blue stargazer","xenocephalus elongatus","CHN","China",0,"no","yes"
"blue tilapia","oreochromis aureus","CHN","China",1,"yes","no"
"blue whiting(=poutassou)","micromesistius poutassou","DNK","Denmark",0,"no","yes"
"blue whiting(=poutassou)","micromesistius poutassou","ESP","Spain",1,"yes","no"
"blue whiting(=poutassou)","micromesistius poutassou","FRO","Faroe Islands",0,"no","yes"
"blue whiting(=poutassou)","micromesistius poutassou","IRL","Ireland",0.5,"yes","yes"
"blue whiting(=poutassou)","micromesistius poutassou","ISL","Iceland",0,"no","yes"
"blue whiting(=poutassou)","micromesistius poutassou","NOR","Norway",0.5,"yes","yes"
"bluespotted cornetfish","fistularia commersonii","CHN","China",0,"no","yes"
"bluespotted stargazer","xenocephalus elongatus","CHN","China",0,"no","yes"
"boarfish","capros aper","DNK","Denmark",0,"no","yes"
"boarfish","capros aper","GBR","United Kingdom",0,"no","yes"
"boarfish","capros aper","IRL","Ireland",1,"yes","no"
"boeseman's skate","okamejei boesemani","CHN","China",0,"no","yes"
"bombay-duck","harpadon nehereus","CHN","China",0,"no","yes"
"bonga shad","ethmalosa fimbriata","GMB","Gambia",0,"no","yes"
"bornean croaker","johnius borneensis","CHN","China",0,"no","yes"
"box crab","calappa hepatica","VNM","Vietnam",0,"no","yes"
"boxlip mullet","oedalechilus labeo","CHN","China",0,"no","yes"
"broad-barred cardinalfish","ostorhinchus fasciatus","CHN","China",0,"no","yes"
"broken-back shrimp","oratosquillina interrupta","CHN","China",0,"no","yes"
"brown-spotted scaldfish","aseraggodes kobensis","CHN","China",0,"no","yes"
"brownback trevally","carangoides praeustus","CHN","China",0,"no","yes"
"brushtooth lizardfish","saurida undosquamis","IND","India",0,"no","yes"
"bullet tuna","auxis rochei","ECU","Ecuador",1,"yes","no"
"bullet tuna","auxis rochei","ESP","Spain",1,"yes","no"
"bullet tuna","auxis rochei","IDN","Indonesia",1,"yes","no"
"bullet tuna","auxis rochei","IND","India",1,"yes","no"
"bullet tuna","auxis rochei","TUR","Turkey",1,"yes","no"
"butterfly bobtail squid","sepiola birostrata","CHN","China",0,"no","yes"
"californian anchovy","engraulis mordax","CAN","Canada",1,"yes","no"
"californian anchovy","engraulis mordax","MEX","Mexico",0,"no","yes"
"canine-spined goby","acentrogobius caninus","CHN","China",0,"no","yes"
"cape horse mackerel","trachurus capensis","ZAF","South Africa",0,"no","yes"
"capelin","mallotus villosus","CAN","Canada",0,"no","yes"
"capelin","mallotus villosus","FRO","Faroe Islands",0,"no","yes"
"capelin","mallotus villosus","ISL","Iceland",0,"no","yes"
"capelin","mallotus villosus","NOR","Norway",0.222222222222222,"yes","yes"
"carinate mullet","liza carinata","CHN","China",0,"no","yes"
"carinated scorpaenopsis","apistus carinatus","CHN","China",0,"no","yes"
"caroun croaker","johnius carouna","CHN","China",0,"no","yes"
"catfishes nei","clarias","IND","India",0,"no","yes"
"chilean jack mackerel","trachurus murphyi","CHL","Chile",0.229885057471264,"yes","yes"
"chilean jack mackerel","trachurus murphyi","CHN","China",0,"no","yes"
"chilean jack mackerel","trachurus murphyi","ECU","Ecuador",0,"no","yes"
"chilean jack mackerel","trachurus murphyi","PER","Peru",0,"no","yes"
"chinese ditch prawn","palaemon gravieri","CHN","China",0,"no","yes"
"chinese gizzard shad","clupanodon thrissa","VNM","Vietnam",0,"no","yes"
"chinese grey mullet","liza haematocheila","CHN","China",0,"no","yes"
"chinese hairy shrimp","acetes chinensis","CHN","China",0,"no","yes"
"chinese sardine","sardinella nymphaea","CHN","China",0,"no","yes"
"chinese silver pomfret","pampus chinensis","CHN","China",0,"no","yes"
"chinese stargazer","uranoscopus chinensis","CHN","China",0,"no","yes"
"chinook(=spring=king) salmon","oncorhynchus tshawytscha","CAN","Canada",1,"yes","no"
"chinook(=spring=king) salmon","oncorhynchus tshawytscha","CHL","Chile",1,"yes","no"
"chinook(=spring=king) salmon","oncorhynchus tshawytscha","NZL","New Zealand",1,"yes","no"
"chinook(=spring=king) salmon","oncorhynchus tshawytscha","USA","United States of America",1,"yes","no"
"chub mackerel","scomer japonicus","CHN","China",0,"no","yes"
"chum(=keta=dog) salmon","oncorhynchus keta","CAN","Canada",1,"yes","no"
"chum(=keta=dog) salmon","oncorhynchus keta","THA","Thailand",1,"yes","no"
"chum(=keta=dog) salmon","oncorhynchus keta","USA","United States of America",1,"yes","no"
"cinnamon flounder","pseudorhombus cinnamoneus","CHN","China",0,"no","yes"
"cloudy pholis","pholis nebulosa","CHN","China",0,"no","yes"
"coastal mud shrimp","solenocera crassicornis","CHN","China",0,"no","yes"
"coho(=silver) salmon","oncorhynchus kisutch","CAN","Canada",1,"yes","no"
"coho(=silver) salmon","oncorhynchus kisutch","CHL","Chile",1,"yes","no"
"coho(=silver) salmon","oncorhynchus kisutch","THA","Thailand",1,"yes","no"
"coho(=silver) salmon","oncorhynchus kisutch","USA","United States of America",1,"yes","no"
"commerson's anchovy","stolephorus commersoni","CHN","China",0,"no","yes"
"commerson's anchovy","stolephorus commersonnii","CHN","China",0,"no","yes"
"common dolphinfish","coryphaena hippurus","CRI","Costa Rica",1,"yes","no"
"common dolphinfish","coryphaena hippurus","ECU","Ecuador",1,"yes","no"
"common eel","ariosoma anago","CHN","China",0,"no","yes"
"common frog shell","bufonaria rana","CHN","China",0,"no","yes"
"common hairfin anchovy","setipinna tenuifilis","CHN","China",0,"no","yes"
"common octopus","octopus vulgare","CHN","China",0,"no","yes"
"common shrimp","crangon crangon","ESP","Spain",1,"yes","no"
"common sole","solea solea","FRA","France",1,"yes","no"
"common squids nei","loligo","KOR","South Korea",1,"yes","no"
"crab-eating eel","pisodonophis cancrivorus","CHN","China",0,"no","yes"
"crangon shrimps nei","crangon","ESP","Spain",1,"yes","no"
"crest flounder","samaris cristatus","CHN","China",0,"no","yes"
"crocodile eel","cociella crocodilus","CHN","China",0,"no","yes"
"crocodile flathead","cociella crocodila","CHN","China",0,"no","yes"
"crystal shrimp","farfantepenaeus brevirostris","CRI","Costa Rica",1,"yes","no"
"curved bembrops","bembrops curvatura","CHN","China",0,"no","yes"
"curved-back champsodon","champsodon atridorsalis","CHN","China",0,"no","yes"
"curved-spined goby","callionymus curvicornis","CHN","China",0,"no","yes"
"cuttlefish, bobtail squids nei","sepiidae","KOR","South Korea",1,"yes","no"
"daggertooth pike conger","muraenesox cinereus","CHN","China",0,"no","yes"
"daggertooth pike conger","muraenesox cinereus","VNM","Vietnam",0,"no","yes"
"deep pugnose ponyfish","secutor ruconius","CHN","China",0,"no","yes"
"deep-water rose shrimp","parapenaeus longirostris","ESP","Spain",1,"yes","no"
"diphos sanguin","soletellina diphos","VNM","Vietnam",0,"no","yes"
"distinct croaker","johnius distinctus","CHN","China",0,"no","yes"
"distinct mantis shrimp","alpheus distinguendus","CHN","China",0,"no","yes"
"dogtooth tuna","gymnosarda unicolor","GBR","United Kingdom",1,"yes","no"
"dogtooth tuna","gymnosarda unicolor","IDN","Indonesia",1,"yes","no"
"dogtooth tuna","gymnosarda unicolor","SYC","Seychelles",1,"yes","no"
"donkey croaker","pennahia anea","CHN","China",0,"no","yes"
"dotted gizzard shad","konosirus punctatus","CHN","China",0,"no","yes"
"dussumier's thryssa","thryssa dussumieri","CHN","China",0,"no","yes"
"eagle-clawed shrimp","trachypenaeus curvirostris","CHN","China",0,"no","yes"
"edible crab","cancer pagurus","IRL","Ireland",1,"yes","no"
"eight-spotted callionymus","callionymus octostigmatus","CHN","China",0,"no","yes"
"elegant pseudocycus shrimp","parapenaeopsis tenella","CHN","China",0,"no","yes"
"elongate ilisha","ilisha elongata","CHN","China",0,"no","yes"
"elongated suezichthys","suezichthys gracilis","CHN","China",0,"no","yes"
"european anchovy","engraulis encrasicolus","ARE","United Arab Emirates",0,"no","yes"
"european anchovy","engraulis encrasicolus","CHN","China",1,"yes","no"
"european anchovy","engraulis encrasicolus","DEU","Germany",0,"no","yes"
"european anchovy","engraulis encrasicolus","ESP","Spain",1,"yes","no"
"european anchovy","engraulis encrasicolus","GEO","Georgia",0,"no","yes"
"european anchovy","engraulis encrasicolus","IRL","Ireland",0.666666666666667,"yes","yes"
"european anchovy","engraulis encrasicolus","MAR","Morocco",0,"no","yes"
"european anchovy","engraulis encrasicolus","TUR","Turkey",0,"no","yes"
"european anchovy","engraulis encrasicolus","ZAF","South Africa",0,"no","yes"
"european flounder","platichthys flesus","DNK","Denmark",1,"yes","no"
"european hake","merluccius merluccius","DNK","Denmark",1,"yes","no"
"european hake","merluccius merluccius","FRA","France",1,"yes","no"
"european hake","merluccius merluccius","GBR","United Kingdom",1,"yes","no"
"european hake","merluccius merluccius","IRL","Ireland",1,"yes","no"
"european pilchard(=sardine)","sardina pilchardus","DNK","Denmark",1,"yes","no"
"european pilchard(=sardine)","sardina pilchardus","ESP","Spain",1,"yes","no"
"european pilchard(=sardine)","sardina pilchardus","FRA","France",0.333333333333333,"yes","yes"
"european pilchard(=sardine)","sardina pilchardus","GBR","United Kingdom",0.5,"yes","yes"
"european pilchard(=sardine)","sardina pilchardus","IRL","Ireland",0.666666666666667,"yes","yes"
"european pilchard(=sardine)","sardina pilchardus","MAR","Morocco",0.403846153846154,"yes","yes"
"european pilchard(=sardine)","sardina pilchardus","MRT","Mauritania",0,"no","yes"
"european pilchard(=sardine)","sardina pilchardus","OMN","Oman",0,"no","yes"
"european pilchard(=sardine)","sardina pilchardus","TUR","Turkey",1,"yes","no"
"european pilchard(=sardine)","sardina pilchardus","WSM","Samoa",1,"yes","no"
"european pilchard(=sardine)","sardina pilchardus","ZAF","South Africa",1,"yes","no"
"european plaice","pleuronectes platessa","DNK","Denmark",1,"yes","no"
"european plaice","pleuronectes platessa","FRA","France",1,"yes","no"
"european plaice","pleuronectes platessa","GBR","United Kingdom",1,"yes","no"
"european seabass","dicentrarchus labrax","ESP","Spain",1,"yes","no"
"european sprat","sprattus sprattus","DNK","Denmark",0,"no","yes"
"european sprat","sprattus sprattus","EST","Estonia",0.5,"yes","yes"
"european sprat","sprattus sprattus","FIN","Finland",0,"no","yes"
"european sprat","sprattus sprattus","FRA","France",0,"no","yes"
"european sprat","sprattus sprattus","GBR","United Kingdom",1,"yes","no"
"european sprat","sprattus sprattus","IRL","Ireland",1,"yes","no"
"european sprat","sprattus sprattus","LVA","Latvia",1,"yes","no"
"european sprat","sprattus sprattus","NOR","Norway",0.5,"yes","yes"
"european squid","loligo vulgaris","FRA","France",1,"yes","no"
"european squid","loligo vulgaris","GBR","United Kingdom",1,"yes","no"
"eye-spotted parapercis","parapercis ommatura","CHN","China",0,"no","yes"
"fang's pholis","pholis fangi","CHN","China",0,"no","yes"
"fat grrenling","hexagrammos otakii","CHN","China",0,"no","yes"
"few-scaled stargazer","uranoscopus oligolepis","CHN","China",0,"no","yes"
"few-scaled tongue sole","cynoglossus oligolepis","CHN","China",0,"no","yes"
"fine-striped snapper","jaydia lineata","CHN","China",0,"no","yes"
"finespot goby","chaeturichthys stigmatias","CHN","China",0,"no","yes"
"firefly lanternfish","hygophum proximum","CHN","China",0,"no","yes"
"flat oysters nei","ostrea","VNM","Vietnam",0,"no","yes"
"flat-footed pseudocycus shrimp","atypopenaeus stenodactylus","CHN","China",0,"no","yes"
"flounder","cynoglossus bilineatus","VNM","Vietnam",0,"no","yes"
"forksnout searobin","lepidotrigla alata","CHN","China",0,"no","yes"
"four-lined apogon","apogon quadrifasciatus","CHN","China",0,"no","yes"
"four-spot megrim","lepidorhombus boscii","GBR","United Kingdom",1,"yes","no"
"fourfinger threadfin","eleutheronema rhadinum","CHN","China",0,"no","yes"
"fresh water oyster","hyriopsis cumingii","VNM","Vietnam",0,"no","yes"
"frigate and bullet tunas","auxis","ECU","Ecuador",1,"yes","no"
"frigate and bullet tunas","auxis","ESP","Spain",1,"yes","no"
"frigate and bullet tunas","auxis","GBR","United Kingdom",1,"yes","no"
"frigate and bullet tunas","auxis","IDN","Indonesia",1,"yes","no"
"frigate and bullet tunas","auxis","MYS","Malaysia",1,"yes","no"
"frigate and bullet tunas","auxis","NZL","New Zealand",1,"yes","no"
"frigate and bullet tunas","auxis","OMN","Oman",1,"yes","no"
"frigate and bullet tunas","auxis","SYC","Seychelles",1,"yes","no"
"frigate and bullet tunas","auxis","THA","Thailand",1,"yes","no"
"frigate and bullet tunas","auxis","TUR","Turkey",1,"yes","no"
"frigate and bullet tunas","auxis","TWN","Taiwan",1,"yes","no"
"frigate tuna","auxis thazard","ECU","Ecuador",0.5,"yes","yes"
"frigate tuna","auxis thazard","ESP","Spain",1,"yes","no"
"frigate tuna","auxis thazard","GBR","United Kingdom",1,"yes","no"
"frigate tuna","auxis thazard","IDN","Indonesia",1,"yes","no"
"frigate tuna","auxis thazard","IND","India",1,"yes","no"
"frigate tuna","auxis thazard","MYS","Malaysia",1,"yes","no"
"frigate tuna","auxis thazard","SYC","Seychelles",1,"yes","no"
"frigate tuna","auxis thazard","THA","Thailand",1,"yes","no"
"fringescale sardinella","sardinella fimbriata","CHN","China",0,"no","yes"
"fringescale sardinella","sardinella fimbriata","IDN","Indonesia",0.5,"yes","yes"
"fringescale sardinella","sardinella fimbriata","IND","India",0,"no","yes"
"gaper","tresus keenae","CHN","China",0,"no","yes"
"ge's long-arm shrimp","palaemon gravieri","CHN","China",0,"no","yes"
"giant red shrimp","aristaeomorpha foliacea","ESP","Spain",1,"yes","no"
"giant tiger prawn","penaeus monodon","YEM","Yemen",1,"yes","no"
"gilthead seabream","sparus aurata","ESP","Spain",1,"yes","no"
"goatfishes","upeneus","VNM","Vietnam",0,"no","yes"
"golden shrimp","plesionika martia","ESP","Spain",1,"yes","no"
"golden snail","bilaglobosa swatson","VNM","Vietnam",0,"no","yes"
"golden threadfin bream","nemipterus virgatus","CHN","China",0,"no","yes"
"goldstripe sardinella","sardinella gibbosa","IDN","Indonesia",0.5,"yes","yes"
"grass carp(=white amur)","ctenopharyngodon idella","THA","Thailand",1,"yes","no"
"gray stingfish","minous monodactylus","CHN","China",0,"no","yes"
"grayfin croaker","johnius grypotus","CHN","China",0,"no","yes"
"great atlantic scallop","pecten maximus","FRA","France",1,"yes","no"
"great atlantic scallop","pecten maximus","GBR","United Kingdom",1,"yes","no"
"greater lizardfish","saurida tumbil","CHN","China",0,"no","yes"
"greater lizardfish","saurida tumbil","VNM","Vietnam",0,"no","yes"
"greater weever","trachinus draco","DNK","Denmark",1,"yes","no"
"green bleekeria","bleekeria viridianguilla","CHN","China",0,"no","yes"
"greenland halibut","reinhardtius hippoglossoides","FRA","France",1,"yes","no"
"greenland halibut","reinhardtius hippoglossoides","GBR","United Kingdom",1,"yes","no"
"greenland halibut","reinhardtius hippoglossoides","USA","United States of America",1,"yes","no"
"groupers, seabasses nei","serranidae","CRI","Costa Rica",1,"yes","no"
"guinea shrimp","parapenaeopsis atlantica","ESP","Spain",1,"yes","no"
"gulf menhaden","brevoortia patronus","USA","United States",0,"no","yes"
"gulf menhaden","brevoortia patronus","USA","United States of America",0,"no","yes"
"gunther's lizard fish","synodus kaianus","CHN","China",0,"no","yes"
"haddock","melanogrammus aeglefinus","DNK","Denmark",1,"yes","no"
"haddock","melanogrammus aeglefinus","FRA","France",1,"yes","no"
"haddock","melanogrammus aeglefinus","GBR","United Kingdom",1,"yes","no"
"haddock","melanogrammus aeglefinus","IRL","Ireland",1,"yes","no"
"haddock","melanogrammus aeglefinus","NOR","Norway",1,"yes","no"
"haddock","melanogrammus aeglefinus","VNM","Vietnam",1,"yes","no"
"hakes nei","merluccius","IRL","Ireland",1,"yes","no"
"hales' pseudocycus shrimp","parapenaeopsis hardwickii","CHN","China",0,"no","yes"
"half break","hemirhamphus far","VNM","Vietnam",0,"no","yes"
"hammerhead sharks, etc. nei","sphyrnidae","TWN","Taiwan",1,"yes","no"
"haneda's lightfish","acropoma hanedai","CHN","China",0,"no","yes"
"hardyhead silverside","atherinomorus lacunosus","CHN","China",0,"no","yes"
"heterognathous eel","gnathophis heterognathos","CHN","China",0,"no","yes"
"horned flounder","pleuronichthys cornutus","CHN","China",0,"no","yes"
"horned pseudocycus shrimp","parapenaeopsis cornuta","CHN","China",0,"no","yes"
"horned sole","aesopia cornuta","CHN","China",0,"no","yes"
"horsehead tilefish","branchiostegus japonicus","CHN","China",0,"no","yes"
"hualien sardine","sardinella hualiensis","CHN","China",0,"no","yes"
"indian anchovy","stolephorus indicus","CHN","China",0,"no","yes"
"indian driftfish","ariomma indica","VNM","Vietnam",0,"no","yes"
"indian mackerel","rastrelliger kanagurta","CHN","China",0,"no","yes"
"indian mackerel","rastrelliger kanagurta","IND","India",0,"no","yes"
"indian mackerel","rastrelliger kanagurta","THA","Thailand",0.5,"yes","yes"
"indian mackerels nei","rastrelliger","MYS","Malaysia",1,"yes","no"
"indian mackerels nei","rastrelliger","THA","Thailand",0,"no","yes"
